categoria,split,tipo,imagen,estado,x0,y0,x1,y1,sam_x0,sam_y0,sam_x1,sam_y1,t_sam_ms
zipper,train,good,000.png,ROI_OK,0,0,1023,1023,579,0,919,1023,8451.5
zipper,train,good,001.png,ROI_OK,0,0,1023,1023,115,0,448,1023,8351.3
zipper,train,good,002.png,ROI_OK,0,0,1023,1023,112,0,447,1023,8285.0
zipper,train,good,003.png,ROI_OK,0,0,1023,1023,118,0,447,1023,8486.7
zipper,train,good,004.png,ROI_OK,0,0,1023,1023,583,0,920,1023,8350.5
zipper,train,good,005.png,ROI_OK,0,0,1023,1023,120,0,448,1023,8531.3
zipper,train,good,006.png,ROI_OK,0,0,1023,1023,582,0,916,1023,8488.6
zipper,train,good,007.png,ROI_OK,0,0,1023,1023,106,0,448,1023,8147.7
zipper,train,good,008.png,ROI_OK,0,0,1023,1023,105,0,447,1023,8685.1
zipper,train,good,009.png,ROI_OK,0,0,1023,1023,108,0,449,1023,8291.3
zipper,train,good,010.png,ROI_OK,0,0,1023,1023,107,0,449,1023,8531.7
zipper,train,good,011.png,ROI_OK,0,0,1023,1023,106,0,449,1023,8416.0
zipper,train,good,012.png,ROI_OK,0,0,1023,1023,116,0,452,1023,8229.5
zipper,train,good,013.png,ROI_OK,0,0,1023,1023,115,0,449,1023,8770.6
zipper,train,good,014.png,ROI_OK,0,0,1023,1023,443,0,574,1023,8142.8
zipper,train,good,015.png,ROI_OK,0,0,1023,1023,108,0,444,1023,8300.2
zipper,train,good,016.png,ROI_OK,0,0,1023,1023,110,0,447,1023,8538.1
zipper,train,good,017.png,ROI_OK,0,0,1023,1023,109,0,443,1023,8250.8
zipper,train,good,018.png,ROI_OK,0,0,1023,1023,115,0,448,1023,8763.9
zipper,train,good,019.png,ROI_OK,0,0,1023,1023,120,0,449,1023,8843.1
zipper,train,good,020.png,ROI_OK,0,0,1023,1023,112,0,448,1023,8425.0
zipper,train,good,021.png,ROI_OK,0,0,1023,1023,119,0,451,1023,8987.8
zipper,train,good,022.png,ROI_OK,0,0,1023,1023,441,0,570,1023,8326.8
zipper,train,good,023.png,ROI_OK,0,0,1023,1023,110,0,448,1023,8499.9
zipper,train,good,024.png,ROI_OK,0,0,1023,1023,443,0,571,1023,8443.1
zipper,train,good,025.png,ROI_OK,0,0,1023,1023,106,0,436,1023,8458.4
zipper,train,good,026.png,ROI_OK,0,0,1023,1023,116,0,448,1023,8767.8
zipper,train,good,027.png,ROI_OK,0,0,1023,1023,112,0,446,1023,8728.6
zipper,train,good,028.png,ROI_OK,0,0,1023,1023,115,0,449,1023,8632.4
